Store,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,Pct_Sum_Dry_Grocery,Pct_Sum_Dairy,Pct_Sum_Frozen_food,Pct_Meat,Pct_Produce,Pct_Floral,Pct_Deli,Pct_Bakery,Pct_General_Merchandise,Cluster
S0001,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508945.82,46.13472562,10.30837111,7.719924551,10.76774075,9.717103938,0.676943285,4.354992809,3.554387621,6.76581031,3
S0002,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334619.57,45.75279491,10.63876148,7.884092953,11.49034539,10.12593984,0.743805882,3.979241755,2.970152751,6.414865036,3
S0003,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240661.99,42.1349091,10.23562772,6.902749519,11.47127375,12.53988101,0.963139266,4.176080108,3.61080204,7.965537496,2
S0004,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.82,1606208.31,27913890.97,45.45598428,9.711101841,8.027714382,12.77276552,10.0409215,0.61196284,4.178524489,3.446871026,5.75415413,3
S0005,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886.17,44.01687513,10.62680887,8.633852217,10.18632615,13.11120515,0.887725043,3.538921434,2.260686097,6.737599904,2
S0006,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625420.87,45.98351541,9.860922046,7.444313499,10.69159131,10.1782029,0.826503918,4.630886989,3.541688994,6.842374939,3
S0007,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.01,1966428.99,30863087.31,44.20867978,10.21349578,8.916985207,11.51345931,10.34468431,0.783833379,4.629765894,3.01763722,6.371459116,3
S0008,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.2,2598245.71,29181879.77,42.84568543,10.87321333,8.032146382,10.68777291,12.3696355,0.7858796,3.262265754,2.239774151,8.903626944,2
S0009,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620.31,44.2252269,10.03761187,7.7051363,11.89080122,10.35074894,0.728825604,4.420393652,2.57563411,8.065621412,3
S0010,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928.12,43.14453517,11.49615506,8.03417423,10.71483009,12.16288358,1.038302232,3.709895027,3.80513668,5.894087941,2
S0011,10163008.45,2104841.34,1609834.78,2719787.7,2205228.62,176845.1,1091045.18,726534.57,1598547.88,22395673.62,45.37933809,9.398428356,7.188150744,12.14425494,9.846672431,0.789639566,4.871678336,3.244084471,7.137753064,3
S0012,22920867.6,4784134.92,3657381.26,5626478.83,4639016.01,335699.97,2216645.21,914460.49,4091856.84,49186541.13,46.59987686,9.726512192,7.435735825,11.43906179,9.431474349,0.682503714,4.506609245,1.859168116,8.319057909,1
S0013,17451783.56,3553516.21,2951489.37,4467174.88,3629467.14,309895.27,1812614.94,1342741.95,3650467.09,39169150.41,44.55491982,9.072232032,7.535239695,11.40482965,9.266137003,0.791171794,4.627659577,3.42805993,9.319750497,1
S0014,13770222.43,3029633.62,2391810.25,3058413.55,3311035.35,330321.91,1082305.37,636768.63,3377451.51,30987962.62,44.43732748,9.776808037,7.718514054,9.869682585,10.68490817,1.065968467,3.492663856,2.054890274,10.89923707,1
S0015,16733288.07,3689264.26,2908692.42,3735002.13,3921200.02,287081.34,1306527.72,937785.14,3834916.56,37353757.66,44.79679989,9.876554572,7.786880363,9.998999737,10.49747138,0.768547418,3.497714291,2.510551009,10.26648134,1
S0016,11144879.86,2135270.92,1823002.86,2570843.14,2065999.38,145993.89,1075451.66,670693.26,1720661.82,23352796.79,47.72396197,9.143534024,7.806357741,11.00871627,8.846903429,0.625166618,4.605237093,2.872004009,7.36811884,3
S0017,13818627.34,3158295.28,2484711.41,3081529.14,4215854.25,422332.61,1288667.35,890682.47,2180252.8,31540952.65,43.81169933,10.01331607,7.877731017,9.769930459,13.36628699,1.338997635,4.085695712,2.8238921,6.912450693,2
S0018,10994579.22,2399399.79,1918423.17,2575042.16,2646907.99,226217.15,1044561.79,848925.03,1624673.09,24278729.39,45.28482131,9.882723892,7.901662147,10.60616525,10.90216851,0.931750366,4.302374203,3.496579316,6.691755009,3
S0019,9500819.34,1918345.51,1532868.24,2197008.49,1865858.21,113276.66,638836.56,385628.7,1529502.66,19682144.37,48.27126131,9.746628589,7.788116026,11.16244475,9.479953886,0.575530074,3.245767067,1.95928194,7.771016365,1
S0020,10997288.18,2568277.53,1866647.95,2600090.68,2615310,201233.89,914548.27,705612.78,1501802.12,23970811.4,45.87783032,10.71418688,7.787170484,10.84690308,10.91039413,0.839495529,3.815257877,2.943633272,6.26512843,3
S0021,9410854.65,2656706.22,1879698.39,1874153.33,3217947.64,194611.01,795313.46,612390.49,1100774.09,21742449.28,43.28332346,12.21898318,8.645292744,8.619789362,14.80029963,0.895073998,3.657883478,2.816566258,5.062787894,2
S0022,13404375.38,2752887.18,2163727.82,3022688.81,2625382.14,246755.04,1229095.06,970143.13,2074377.15,28489431.71,47.05034315,9.662836409,7.594843737,10.60985997,9.215284344,0.866128333,4.31421403,3.405273716,7.281216316,3
S0023,7723456.23,1921840.1,1491504.46,1938579.85,1893525.06,167752.48,678086.29,640114.98,1233253.09,17688112.54,43.66467147,10.86515079,8.43224203,10.95978921,10.70507131,0.948391071,3.833570645,3.618899295,6.972214176,2
S0024,11160900.76,2550573.86,2014391.25,2570942.73,2709800.59,132218.66,1008674.17,562929.26,1813070.15,24523501.43,45.51104088,10.40052893,8.214125767,10.4835875,11.04981113,0.539150824,4.113091978,2.295468539,7.393194464,3
S0025,14470649.14,3278235.63,2493889.08,3286736.53,3498500.3,166116.52,1324244.75,961693.58,1838856.38,31318921.91,46.20417389,10.46726844,7.962882909,10.49441146,11.17056427,0.530403059,4.228257773,3.07064714,5.871391056,3
S0026,9711806.15,2236359.26,1664161.72,2119542.42,2411984.05,176843.89,799105.96,648571.84,1451771.86,21220147.15,45.76691237,10.53884897,7.842366541,9.988349303,11.36648126,0.833377303,3.765788966,3.056396525,6.841478759,2
S0027,11859562.08,2762018.81,2061424.43,2638827.83,3511115.94,431558.24,789146.71,620490.05,1876040.56,26550184.65,44.66847307,10.40301168,7.764256472,9.939018748,13.22445017,1.62544346,2.972283321,2.337046082,7.066016997,2
S0028,7841593.17,1787154.37,1366909.87,2062508.92,2017244.48,61139.83,645670.38,521856.64,1007023.92,17311101.58,45.29805994,10.32374723,7.896146087,11.91437131,11.65289494,0.353182781,3.729805276,3.014577886,5.817214551,3
S0029,14829406.83,3341340.32,2451973.11,4420784.46,3333528.94,209019.35,1440562.53,598927.39,2981115.45,33606658.38,44.12639502,9.942494973,7.29609318,13.15448983,9.919251424,0.621958148,4.286539036,1.782168829,8.870609557,1
S0030,11232100.21,2789061.75,1805115.79,2839990.86,2965450.25,211755.18,1225710.44,779454.6,1648698.92,25497338,44.05205049,10.93863897,7.079624508,11.13838182,11.63043079,0.830499168,4.807209443,3.057003833,6.466160977,3
S0031,13344842.36,3014887.33,2274456.12,3304425.47,2575738.86,184062.48,1133312.67,595091.29,2842620.56,29269437.14,45.59309527,10.30046227,7.770754556,11.2896789,8.800097001,0.62885555,3.872000218,2.033149073,9.711907156,1
S0032,10839766.57,2277093.41,1769568.5,2797084.07,2331785.09,157300.51,966854.67,567271.16,2458833.29,24165557.27,44.85626567,9.422888057,7.32268857,11.57467233,9.649208847,0.650928544,4.000961613,2.3474367,10.17494967,1
S0033,14465006.19,3356605.45,2631936.7,3916347.08,3730920.43,296740.91,1345068.95,923256.25,2294605.79,32960487.75,43.88589847,10.18372506,7.985126676,11.88194516,11.31937263,0.900292836,4.080852687,2.801100084,6.961686391,3
S0034,13566943.93,3218941.92,2562510.4,3402503.03,3561114.71,362451.26,1372806.13,902119.1,2100665.64,31050056.12,43.69378232,10.36694397,8.252836614,10.958122,11.46894774,1.167312737,4.42126779,2.905370272,6.765416564,2
S0035,8525732.59,1856416.79,1448285.37,2243507.61,1615522.5,132984.09,742343.57,537480.27,1262948.38,18365221.17,46.42325029,10.10832798,7.886021936,12.21606639,8.796640591,0.724108296,4.042116145,2.926620186,6.876848192,3
S0036,8814761.2,1687871.64,1432261.65,1795257.75,1748605.79,103705.82,545124.18,283134.94,1416381.48,17827104.45,49.44583808,9.468007801,8.034179942,10.0703833,9.808692123,0.581731152,3.057839155,1.588227302,7.945101146,1
S0037,13507345.36,3060559.9,2410415.17,3383050.92,3562066.35,256331.63,1246123.74,635399.37,3225658.13,31286950.57,43.17245725,9.782224999,7.704218935,10.81297748,11.38515031,0.81929247,3.98288653,2.030876638,10.30991538,1
S0038,9122829.82,2227430.86,1714191.72,2453893.95,2171273.05,155092.65,782759.5,593747.63,1411229.41,20632448.59,44.21593385,10.79576595,8.308232116,11.89337242,10.52358396,0.751692894,3.793827459,2.877737111,6.839854241,3
S0039,9669474.43,2328789.52,1581216.99,2939723.13,1579637.47,147463.34,758905.04,1010486.17,1345626.92,21361323.01,45.26627131,10.90189741,7.402242779,13.76189634,7.39484848,0.690328684,3.552706167,4.730447499,6.299361324,3
S0040,16073815.58,3677680.76,2788687.32,4769599.23,4543001.51,299539.75,1464123.59,700204.9,2709070.05,37025722.69,43.41256406,9.932772389,7.531756621,12.88185316,12.26985236,0.809004466,3.954341694,1.891130947,7.316724302,1
S0041,11674107.53,2674726.45,2087500.74,2595859.27,2402327.77,172803.28,1261126.41,705443.21,1693623.67,25267518.33,46.20203448,10.58563178,8.261597806,10.27350306,9.507573077,0.683894943,4.99109724,2.79189749,6.702770125,3
S0042,18881880.24,4006812.63,3217344.18,4719220.8,3843105.62,238829.76,1884916.5,1159185.22,2410507.99,40361802.94,46.78155797,9.927238969,7.971259819,11.69229434,9.521640115,0.591722229,4.670050302,2.871985728,5.97225053,3
S0043,12162194.78,2791583.6,2218720.2,2890792.8,3136766.86,231556.75,1021871.91,690136.36,2014870.32,27158493.58,44.78228788,10.27886025,8.169526021,10.64415738,11.54985585,0.852612643,3.762623678,2.541143742,7.418932549,2
S0044,15772314.51,3562553.91,2715622.41,4481645.11,3735116.2,201122.97,1456372.17,1316636.75,2290881.67,35532265.7,44.38871037,10.02625034,7.642694201,12.61288866,10.51189989,0.566029118,4.098731509,3.705468042,6.447327872,3
S0045,18821234.56,4354423.4,3546379.18,3883710.16,4446110.8,394119.27,1637901.97,952974.54,4267237.08,42304090.96,44.49034156,10.29314967,8.383064379,9.180460026,10.50988379,0.931633941,3.871734229,2.25267703,10.08705537,1
S0046,17883061.14,4373298.18,3320714.19,4574109.64,5002506.61,443995.32,1607814.64,1209799.41,3893486.6,42308785.73,42.26796121,10.33661946,7.848757965,10.81125246,11.82380095,1.049416362,3.800190935,2.859451977,9.202548674,2
S0047,20130418.28,4359082.65,3644785.09,4807596.71,4593568.85,380905.05,1727800.92,936433.17,4516050.58,45096641.3,44.63839812,9.666091585,8.08216529,10.66065359,10.18605536,0.844641727,3.831329496,2.076503134,10.0141617,1
S0048,15351829.53,3431379.41,2843183.47,3562316.55,3440749.53,331411.22,1338514.34,924731.52,3560088.01,34784203.58,44.1344862,9.864763475,8.173777685,10.24119049,9.891701335,0.952763571,3.848052283,2.658481221,10.23478373,1
S0049,10022010.28,2424017.45,2025935.33,2122030.11,2510813.07,231099.48,940397.14,698494.12,1523808.91,22498605.89,44.54502794,10.77407846,9.004714958,9.431829334,11.15986067,1.027172444,4.179801827,3.104610674,6.772903697,2
S0050,18904924.18,4604837.64,3654389.92,4286193.57,6382729.42,654293.36,1635272.62,921487.02,2895084.11,43939211.84,43.02517817,10.48001875,8.316921872,9.754825793,14.52627199,1.489087611,3.721670352,2.097186047,6.588839419,2
S0051,14858870.69,3404191.04,2738386.27,2877653.86,3917645.91,271433.73,1250997.7,1026703.85,2015389.09,32361272.14,45.91559512,10.51933628,8.46192405,8.892276693,12.10597004,0.838761001,3.86572473,3.172631303,6.227780791,2
S0052,19906352.86,4440704.91,3420423.44,5136574.65,6637175.18,734241.05,1987478.38,1153010.85,3571911.99,46987873.31,42.36487301,9.450746751,7.279374866,10.93170277,14.12529385,1.562618178,4.229768747,2.453847703,7.601774114,2
S0053,14581530.55,3130532.88,2313704.13,3715695.89,2745412.25,201233.77,1447634.62,860645.19,1901166.71,30897555.99,47.19315196,10.13197575,7.488307913,12.02585697,8.885532082,0.651293488,4.685272261,2.78547983,6.153129751,3
S0054,17026101.04,3989612.16,3149861.69,4164490.16,4386911.15,309659.41,1673337.82,1146805.78,2423532.2,38270311.41,44.489058,10.42482283,8.230561952,10.88177756,11.46296173,0.809137419,4.37241757,2.996593803,6.332669139,3
S0055,19088095.08,3736021.51,3173059.07,3847038.75,4400262.02,225703.13,1465620.42,639279.85,2427596.17,39002676,48.94047547,9.578885074,8.135490678,9.863525134,11.28194901,0.578686268,3.757743238,1.639066637,6.22417849,1
S0056,10391159.07,2549257.22,1884567.75,1907090.37,2572158.37,176842.67,592394.16,490284.11,1248561.77,21812315.49,47.63895458,11.68723798,8.639925233,8.743181671,11.79222981,0.810746892,2.715870125,2.247739862,5.724113841,2
S0057,14653637.31,3251575.4,2519485.1,4931545.65,3587804.57,196213.47,1656800.49,592246.87,2057046.97,33446355.83,43.81235847,9.721762863,7.532913639,14.74464266,10.7270418,0.586651266,4.953605404,1.770736618,6.150287285,3
S0058,13413628.73,2897466.58,2305301.28,2962731.37,2897813.17,240267.69,1378425.27,860880.03,1909961,28866475.12,46.46784436,10.0374797,7.98608514,10.2635717,10.03868037,0.832341632,4.775176963,2.982283173,6.616536976,3
S0059,12462807.04,2807123.52,2101484.93,3404045.88,3490732.83,214102.63,1259971.75,829482.95,2417121.15,28986872.68,42.99465892,9.68411995,7.24978149,11.74340508,12.04246097,0.738619279,4.346697776,2.861581376,8.338675154,1
S0060,15688606.94,3555148.75,2872841.23,3998911.1,3516216.8,366568.84,1452109.14,902494.46,2533936.38,34886833.64,44.96999384,10.19051711,8.234743398,11.46252234,10.07892214,1.050736916,4.162341458,2.586919952,7.263302844,3
S0061,19352651.46,4461770.11,3095090.85,4923658.91,4329100.12,244877.13,2074325.81,1243333.02,2297763.31,42022570.72,46.05299278,10.61755631,7.365305827,11.71670087,10.30184505,0.582727629,4.936218262,2.9587267,5.46792657,3
S0062,12248028.87,2577226.39,2079239.8,2442931.82,2882942.49,151167.25,1062596.06,559885.62,2060781.69,26064799.99,46.99068811,9.887765841,7.977194534,9.372532384,11.06067375,0.579967044,4.076747416,2.148052624,7.906378299,1
S0063,8729367.81,2373881.9,1771709.83,2202671,2822801.12,193831.14,623938.46,607220.75,1518719.92,20844141.93,41.87923801,11.38872451,8.499797382,10.56733833,13.5424194,0.929907024,2.993351619,2.913148222,7.286075508,2
S0064,9975297.43,2452825.8,1630303.74,2620448.72,2806409.24,218816.85,906447.01,1001406.81,1242288.12,22854243.72,43.64746238,10.73247415,7.133483654,11.46591746,12.27959794,0.957445158,3.966208732,4.381710558,5.435699974,2
S0065,14548365.67,3709653.21,2541375.39,3903469.76,4244599.91,401274.13,1339607.66,1073955.02,2907880.44,34670181.19,41.96218529,10.69983797,7.330147414,11.25886749,12.24279702,1.157404191,3.863861145,3.097633134,8.387266349,2
S0066,15930729.89,3513480.75,2929476.99,3732184.45,3021856.3,304719.87,1410438.96,890801.23,3572979.13,35306667.57,45.12102384,9.951323622,8.297234465,10.57076384,8.558882806,0.863066075,3.994823236,2.523039673,10.11984244,1
S0067,13208481.87,2850178.02,2323242.19,3517290.99,2926805.74,171868.63,1247766.13,703530.22,1748363.96,28697527.75,46.02654969,9.931789403,8.095617888,12.25642509,10.19880794,0.59889699,4.347991719,2.451535986,6.092385293,3
S0068,17116047.01,3885400.46,2943162.25,3997440.94,4775191.33,364386.38,1782749.49,1400891.14,2559074.52,38824343.52,44.0858633,10.00763981,7.580713499,10.29622288,12.29947733,0.938551298,4.591834216,3.608280303,6.591417363,2
S0069,10171488.28,2610543.88,1909920.49,2763957.68,3279238.46,194733.89,1023277.68,914185.36,1741950.8,24609296.52,41.33189371,10.60795817,7.760971503,11.23135591,13.32520195,0.79130214,4.158093992,3.714796802,7.078425824,2
S0070,15551585.46,3449561.43,2718768.77,3563208.16,4013986.34,276776.12,1336535.56,825115.8,3634274.01,35369811.65,43.96852778,9.752840824,7.686692813,10.07415079,11.34862232,0.782520763,3.778746614,2.332824976,10.27507312,1
S0071,13753914.08,3038819.76,2126413.89,4160577.09,3135443.78,184240.31,1330196.58,665396.47,2552738,30947739.96,44.44238609,9.819197667,6.870982801,13.44388022,10.13141439,0.595327188,4.298202653,2.150064822,8.248544169,1
S0072,16735266.3,3531512.75,2411981.19,4778935.6,4147374.1,287682.8,1676771.13,692740.56,3797553.88,38059818.31,43.97095689,9.278848157,6.337342891,12.55638049,10.8969887,0.755870135,4.405620427,1.820136277,9.97785604,1
S0073,15644379.69,3508188.95,2793488.95,3782537.58,4465628.93,311041.81,1525076.3,1293299.18,2556073.85,35879715.24,43.60229613,9.777638776,7.785705464,10.54227313,12.44611029,0.866901557,4.250525094,3.604541372,7.124008184,2
S0074,9359491.15,2112420.38,1619474.25,2705702.35,1908571.21,104311.03,766377.12,680005.26,1251862.39,20508215.14,45.63776558,10.30036191,7.896709874,13.193261,9.306374041,0.508630465,3.736927445,3.315770072,6.104199617,3
S0075,13433609.13,3046198.57,2352610.73,4961131.18,3567736.58,142057.19,1606817.41,499520.37,1549614.52,31159295.68,43.11268543,9.776211251,7.550269281,15.92183351,11.44999109,0.455906293,5.156783473,1.603118296,4.973201371,3
S0076,9919151.26,2240409.57,1852723.94,2481944.99,2605311.13,264552.57,941792.04,590258.53,1712977.48,22609121.51,43.87234265,9.909317215,8.19458615,10.97762683,11.52327448,1.170114327,4.165540176,2.610709707,7.576488451,2
S0077,11830087.05,2777040.86,2205284.96,2861789.75,3178498.13,292412.08,1026552.9,1057670.22,1721778.73,26951114.68,43.89461137,10.30399259,8.182537109,10.61844671,11.79356835,1.084972119,3.808944128,3.924402506,6.388525115,2
S0078,7941652.94,2202417.72,1620640.59,2058790.78,2343553.96,132383.08,667635.85,463992.82,974476.95,18405544.69,43.14815494,11.96605565,8.805175925,11.1857096,12.73286936,0.719256519,3.62736263,2.520940444,5.294474934,2
S0079,11014708.74,2278637.38,1824305.04,2869326.94,2349084.45,183894.22,958828.26,539816.49,1716709.36,23735310.88,46.40642288,9.600200273,7.686038111,12.08885342,9.897003085,0.77477064,4.039670114,2.274318178,7.232723299,1
S0080,6015457.74,1340208.61,1037446.86,1278210.26,1042516.44,97321.71,457539.13,305939.47,1044103.93,12618744.15,47.67081152,10.62077647,8.221474718,10.12945698,8.261649714,0.771247193,3.625868982,2.424484294,8.274230126,1
S0081,6223032.38,1500900.17,1273072.82,1815579.88,1715208.66,124602.84,572727.66,631365.19,845442.23,14701931.83,42.32799099,10.20886362,8.659221351,12.34926063,11.66655294,0.847526988,3.895594583,4.29443693,5.750551967,2
S0082,16101048.58,3519202.13,2629629.54,3968025.49,3544714.74,184041.21,1685799.63,1229853.62,2064418.11,34926733.05,46.09949793,10.07595564,7.528988,11.36099813,10.14900173,0.526935084,4.826674249,3.52123864,5.910710592,3
S0083,8510839.61,2068732.16,1592307.43,2080217.16,2231752.09,134863.43,605897.73,478990.25,1299214.29,19002814.15,44.7872591,10.88645157,8.379324333,10.94688999,11.74432414,0.70970241,3.188463168,2.520627978,6.836957304,2
S0084,9921287.98,2292092.92,2034849.42,2283307.78,2173133.49,137454.97,865370.47,476737.31,1369446.7,21553681.04,46.03059664,10.63434555,9.440844078,10.5935862,10.08242391,0.637733154,4.014954422,2.211860281,6.353655774,3
S0085,9143517.2,2426042.21,1621992.03,2483554.6,2699498.21,229219.47,674595.12,796420,1477864.8,21552703.64,42.42399168,11.25632427,7.525700984,11.52316963,12.52510244,1.063530005,3.129979103,3.695220856,6.85698103,2